created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,date,hour,day,month,dayofweek
2026-04-04 17:22:47+00:00,1,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-04,17,4,4,5
2026-04-05 13:11:42+00:00,2,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-05,13,5,4,6
2026-04-05 13:24:22+00:00,3,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-05,13,5,4,6
2026-04-05 13:24:45+00:00,4,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-05,13,5,4,6
2026-04-05 13:25:09+00:00,5,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-05,13,5,4,6
2026-04-05 13:26:49+00:00,6,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-05,13,5,4,6
2026-04-05 13:27:12+00:00,7,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-05,13,5,4,6
2026-04-05 13:27:33+00:00,8,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-05,13,5,4,6
2026-04-05 13:27:54+00:00,9,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-05,13,5,4,6
2026-04-05 13:28:16+00:00,10,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-05,13,5,4,6
