name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,cloudcover,visibility,solarradiation,solarenergy,severerisk,soilmoisture04,soilmoisture10,windspeed50,conditions,description,icon,stations,source,windspeed,uvindex,soilmoisture01
india,2025-08-12,91.4,77.9,84.7,107.1,77.9,94.5,78.0,81.1,1.314,100,12.5,rain,79.6,2.4,190.8,16.4,10.0,3.6,4.9,12.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"INI0000VIDP,42182099999,INI0000VIDD,42176099999,VIDP,42139099999,42181099999,VIDD",obs,,,
india,2025-08-13,94.0,83.4,87.9,110.4,94.2,100.9,77.8,72.9,0.0,0,0.0,,85.0,2.7,180.3,15.3,10.0,3.6,4.9,9.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999,VIDD",obs,,,
india,2025-08-14,87.8,77.0,81.0,101.7,77.0,87.5,78.5,92.4,3.633,100,20.83,rain,86.0,1.8,83.6,7.3,10.0,3.8,4.9,13.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999",obs,,,
india,2025-08-15,86.0,78.8,82.6,100.7,78.8,92.1,78.9,89.1,0.017,100,4.17,rain,83.3,1.5,167.6,14.6,10.0,3.9,5.1,8.9,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999",obs,,,
india,2025-08-16,91.9,80.6,85.3,113.2,88.2,98.6,79.7,84.0,0.007,100,4.17,rain,87.2,1.7,190.6,16.5,30.0,3.8,5.1,11.9,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999",obs,,,
india,2025-08-17,92.3,80.6,84.8,114.1,87.2,97.4,79.1,83.4,0.007,100,4.17,rain,71.7,2.3,183.6,15.9,30.0,3.7,5.0,16.6,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999",obs,,,
india,2025-08-18,93.0,78.8,86.2,114.9,78.8,99.0,78.8,79.4,0.002,100,4.17,rain,67.8,2.1,197.9,17.0,30.0,3.7,5.0,16.6,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999",obs,,,
india,2025-08-19,93.8,82.4,85.9,111.3,90.9,98.6,78.7,79.8,0.027,100,4.17,rain,61.6,2.6,237.9,20.4,30.0,3.7,4.9,13.4,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999",obs,,,
india,2025-08-20,94.7,82.2,87.4,117.1,90.9,100.2,78.1,75.0,0.014,100,4.17,rain,55.9,2.7,229.7,19.7,30.0,3.7,4.9,16.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999",obs,,,
india,2025-08-21,93.2,82.4,87.2,112.2,90.9,101.1,78.8,76.7,0.003,100,4.17,rain,57.5,2.8,220.0,18.8,30.0,3.6,4.9,13.4,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999",obs,,,
